Channel Id,Channel_link,Video_01_Start,Video_01_End,Video_01_link,Video_02_Start,Video_02_End,Video_02_link,Video_03_Start,Video_03_End,Video_03_link,Video_04_Start,Video_04_End,Video_04_link
Markiplier,https://www.youtube.com/c/markiplier,0:06:45,0:16:44,https://www.youtube.com/watch?v=j8ri1v8vTTM,0:00:00,0:23:02,https://www.youtube.com/watch?v=n4j7xKaev7c,-,-,-,-,-,-
Suzy Lu,https://www.youtube.com/c/SuzyLuOfficial,0:08:04,0:26:41,https://www.youtube.com/watch?v=O08UEENQ0BA,0:00:00,0:11:45,https://www.youtube.com/watch?v=qDbEQXfJSkU,-,-,-,-,-,-
LayItDown Gaming,https://www.youtube.com/c/LayItDownGaming,0:06:54,0:42:02,https://www.youtube.com/watch?v=Y7qnnwNPD1M,-,-,-,-,-,-,-,-,-
Ninja Kuma,https://www.youtube.com/c/NinjaKuma,0:08:55,0:56:07,https://www.youtube.com/watch?v=-euiSXnPOm4&list=PL5eTDP9U2bgekFAt99RWB7mlWXIUZP2_4,-,-,-,-,-,-,-,-,-
Hollow,https://www.youtube.com/c/HollowPoiint,0:06:38,0:36:26,https://www.youtube.com/watch?v=RyZvn4EMowY,-,-,-,-,-,-,-,-,-
Angel Alyx,https://www.youtube.com/c/AngelAlyx,0:09:27,0:47:15,https://www.youtube.com/watch?v=8aqTkP4KZVg,-,-,-,-,-,-,-,-,-
JazzyGuns,https://www.youtube.com/c/JazzyGuns,0:06:42,0:32:02,https://www.youtube.com/watch?v=yOhCXnytXjE,-,-,-,-,-,-,-,-,-
Marz,https://www.youtube.com/c/Marzz,0:00:08,0:40:21,https://www.youtube.com/watch?v=KhD8Cx3sb7M,-,-,-,-,-,-,-,-,-
John Wolfe,https://www.youtube.com/c/HarshlyCritical,0:07:31,0:29:47,https://www.youtube.com/watch?v=9rLBWbg46Tc,-,-,-,-,-,-,-,-,-
Anida,https://www.youtube.com/channel/UCrTlg8Yb3MUaBlHrgkpXI9g,0:07:58,0:29:56,https://www.youtube.com/watch?v=PgeWKIKJbFs,0:00:00,0:17:45,https://www.youtube.com/watch?v=OaDkZ71SSnc,-,-,-,-,-,-
pewdiepie,https://www.youtube.com/user/PewDiePie,0:04:53,0:17:01,https://www.youtube.com/watch?v=GP5k7I70qlI,0:00:08,0:13:52,https://www.youtube.com/watch?v=TbLIluNacg4&list=PLYH8WvNV1YElgJa3uulGCNSMoGtp-_i0G,-,-,-,-,-,-
CoryxKenshin,https://www.youtube.com/c/CoryxKenshin,0:09:24,0:17:29,https://www.youtube.com/watch?v=Mhb5Sm7K0U8,0:00:00,0:15:54,https://www.youtube.com/watch?v=8HMOasKjpBs&list=PLxoHK1S7LhWSNEbIKcF2EzG1bJZpCUvuR&pp=iAQB,0:00:00,0:10:00,https://www.youtube.com/watch?v=PSr103wh580,-,-,-
yamimash,https://www.youtube.com/user/yamimash,0:09:52,0:17:31,https://www.youtube.com/watch?v=ALa32-1rP44,0:00:20,0:15:10,https://www.youtube.com/watch?v=Gp0ct6BuNlU,0:00:01,0:16:03,https://www.youtube.com/watch?v=nl4xyDZuXAk,0:00:05,0:09:30,https://www.youtube.com/watch?v=I7Tu5m2BqHg
jacksepticeye,https://www.youtube.com/c/jacksepticeye,0:07:38,0:26:04,https://www.youtube.com/watch?v=VO4X0IrVy-Y,0:00:02,0:25:52,https://www.youtube.com/watch?v=Kkc9B8Qpey8,-,-,-,-,-,-
Dead Meat,https://www.youtube.com/c/DeadMeat/,0:11:09,0:59:01,https://www.youtube.com/watch?v=7vCbR97M9Jk,-,-,-,-,-,-,-,-,-
LiteWeight Gaming,https://www.youtube.com/c/LiteWeightGaming,0:10:15,0:59:01,https://www.youtube.com/watch?v=QH7aryslujM,-,-,-,-,-,-,-,-,-
